input,output,instruction,Label,length
"Dat hij geantwoord had, ik heb ze van een ander Malabaar gekreegen; dat zij toen naar de ola gevraagd had, dat hij geantwoord had geen ola te hebben; waarop zij gerepliceerd had, zoo jij geen ola hebt, wil ik ze niet hebben dat hij toen gezegd had, laat het meisje zoo lange hier blijven, ik zal even naar Mattanseeri gaan om voor twee fanems jager te koopen; dat het meisje toen bij haar gebleeven en zij om haar werk uitgegaan was; dat savonds te 5: uur de Malabaar wedergekoomen, het meisje weggenoomen had; dat zij naderhand den Malabaar niet meer gezien had, als gistern, toen zij bij den heer fiskaal geroepen is geworden.","To which he answered, I have received her from another Malabarian; after which she asked for the ola, to which he answered that he had no ola; to which she replied, if you have no ola, I do not want her, that he then said, let the girl remain here, I will quickly go to Mattenseeri to buy jager for two fanems; after which the girl stayed with her and she went to work; in the evening at 5 o’clock the Malabarian returned and took the girl away; after which she did not see the Malabarian, until yesterday when she was called to the lord fiscal.","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",2,113
Aldus gedaan en gepasseert in de stat Cochim den 20 aug:s a:o 1708. ter presentie van s:r Hendrik Coolhoff en Cornelis de Munt als gecommitt: die de minuten deses benevens den confess: en mij secret: hebben ondertekent.,"Thus done and recorded in the city of Cochim on 20 August 1708, in the presence of the delegates sir Hendrik Coolhof and Cornelis de Munt who have signed the original of this besides the confessant, the interpreter Cornelis van Mekeren for the translation and me the secretary.","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",1,37
Soo neen hoe het dan komt dat hij in gevangenisse sit?,"If not, how is it that he is currently in prison?","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",5,11
"Men kan niet loochenen, dat men niet duijsent maal gesien heeft beesten uijt verdriet en wanhoop sterven.","One cannot deny that one has seen animals die from sadness and despair a
thousand times.","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",10,17
"Gerecoll: confessie van den slave jongen Apocre, N:o 20.","Verified confession of the slave jongen Apocre, Number 20","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",6,9
"Want hij segt bij sijn confessie, die onder n:o 5. hier besijden is te vinden, dat hij een varken aan voorsz: Antij om groot te maeken gegeven, en nae verloop van 11⁄2 jaaren daernae gevraegt en verstaan hebbende dat Antij tselve hadde verkogt, hij gev: de helfte vant geld gepretendeert heeft.","Because he says in his own confession, that can be found here under number 5, that he has given a pig to the aforementioned Antij in order to raise it, and that after one and a half years [when] he had asked about it and understood that Antij had sold it, the prisoner claimed half of the money.","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",9,51
Of hij relatant nu niet moet bekennen dat hij door dit sijn schandelijk versuijm heeft schuldig gemaakt aan de poenaliteijten bij de pla[cc]aten tegen zulke ronzel[aa]rs gestatueert.,Whether the testifier should not acknowledge now that he made himself guilty of the crimes statuated in the placards against such recruiters through his shameful neglect?,"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",10,27
"Antw: Mijn makker heeft dat niet gesegt, maar ik, dog mij makker wilde de meijd aan de wassers niet verkopen.","Answer: My friend did not say that, but I, however my friend did not want to sell
the meijd to the wassers.","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",5,20
"‘t Welk getuigd, [get.] Joan Klijn, secret:s.","Which declares, [signed] Joan Klijn, secretary.","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",5,7
"Indien nu den Chego Ittamen die een vrij gebooren persoon is, op dusdanige wijse zijn vrijdom had verlooren en in een eeuwige slavernij was komen te vervallen, werd hij relatant gevraagt of hij mede niet zoude schuldig zijn aan mans ongeluk, dat so veel te grooter zoude zijn geweest vermits denselven vrouw en kinderen heeft.","If now the Chego Ittamen, who is a freeborn person, would lose his freedom in such a way and fell into eternal slavery, the testifier was asked whether he would not be complicit in a man’s misfortune, which would be even greater since he has a wife and children?","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",10,55
"besluitende evengenoemde aucteur dat capittel met eene nadere oplossing, dat bovendien ook nog staat aan te merken dat in misdaad van menschen dieverije niet alleenig de menschen steelers, maar ook de sulken, die daar toe behulpsaam en in die misdaad meede genooten zijn aan die selfde straffe des swaarts gehouden worden.","The mentioned author concludes that chapter with another solution, that it should further be noted that in crimes of human theft not only the human thieves but also those who have been helpful in that crime and have been complicit should be held to this same punishment by the sword.","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",2,51
"Aldus gedaan ende gedeposeert binnen de stad Cochim ter ord:s Raadcamer op saturdag den 13. junij 1750. in prasentie van d’E: Mattheus Hendrik Beijts en Jacob Harsing beide leeden uit den Raad voorm: die de minute deses nevens den deposant, jongtolk en mij sect:s hebben ondertekend /:onterstond:/ ’t welk getuijgt /:was get::/ Jacob:s Meijn secret:s.","Thus done and deposed in the city of Cochim in the ordinary Chamber of Council on Saturday, 13 June 1750 in the presence of the honourable Mattheus Hendrik Beijts and Jacob Harsing, both members of the aforementioned Council, who have signed the original of this together with the deponent, junior interpreter and me the secretary (standing below) which was declared (signed) Jacob.s Meijn, secretary.","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",9,55
"Of den gev: Jano sulx niet heeft gedaen, en wie meer?","Whether the prisoner Jano has not done this, and who else?","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",9,11
"Extract uijt de crimineele rolle gehouden voor den agtb: Raad van Justitie binnen de stad Cochim op
Dingsdag den 22:e 7:ber anno 1750,","Extract from the criminal roll held before the honourable Council of Justice in the city of Cochim on Tuesday, 22 September in the year 1750.","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",9,23
"‘Twelk getuigd, [get.] Joan Klijn, secret:s.","Which declares, [signed] Joan Klijn, secretary.","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",6,6
"Antw: Ja, ik ben daer niet gegaen.","Answer: Yes, I did not go there.","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",9,7
"Hier nevens heeft den ondergetekende fiscaal Nicolaas Bowijn d’eer in dese agtb: vergaderinge te produceeren in voldoeninge van het decreet in voorm: Rade den 16: deser genomen en hem officier bij extracte daervan kennisse gegeven, sekere portugeese briev en dies translaat in het nederduijts geschreeven, waarbij U:E: agtb: zal komen teconsteren dat de slave meijt kali van den landheer van Chettua Paijencherij Nairo door den Jesuitsen bisschop Anthonij Pimentel op Poetenchera gedoopt is met de naam van Francisca, dus dat den ondergetekende onder hope van te hebben voldaen aan den Inhoude van voorsz: decreet hem de eer zal geven van te blijven.","Besides this, the undersigned fiscal Nicolaas Bowijn has the honour to produce for the satisfaction of the decree taken in the aforementioned Council on the 16th of this month and notified the officer with an extract of it, [a] certain Portuguese letter and its translation written in Dutch, through which your honourable will come to ascertain that the slave meijt Kali of the landlord of Chettua Paijencherij Nairo is baptized with the name Francisca by the Jesuit bishop Anthonij Pimentel in Poetenchera, so that the undersigned with hope to have met the content of the aforementioned decree will give him the honour to remain.","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",7,102
"Compareerde andermaal voor de naergenoemde gecommitteerde leeden uit voorsz: agtb: Raad, den deposant in de voorenstaande klagtdepositie gem: dewelke aan hem nu wederom ten overstaan van den koopman en fiscaal deses commandements Nicolaas Bowijn in presentie van den gev: christen lascorijn Jano door mij secretaris van woorde te woorde voorgelesen, en onder vertaling van den jo: tolk Hend:k Meulman duijdelijk te verstaan gegeven sijnde, bleef hij daerbij ten vollen persisteeren, sonder de minste verandering te begeeren.","There appeared again before the undermentioned delegated members of the aforementioned honourable Council, the deponent named in the aforementioned deposition of complaint which was now again read out word for word to him in the presence of the merchant and fiscal of this district, Nicolaas Bowijn, in the presence of the prisoner Christian lascorin Jano by me as secretary, and made clear to him under translation of the junior interpreter, Hend.k Meulman, persisted fully, without desiring the slightest alteration.","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",9,76
dan ofschoon zij tweede gevangene bevoorens heeft opgegeeven gehad even en al eens of voorm: meisje gevallig maar een enkelde dag bij haar was aangehouden geweest.,That despite she the second prisoner previously had stated once and several times that the aforementioned girl actually had only been kept with her for a single day.,"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",2,26
Dit [get.] door Maliaparte Marian zelfs gesteld.,This [signed] by Maliaparte Marian with her own hand.,"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",2,7
"Deut: 24: vers 7: vind men wanneer iemand gevonden zal worden, die een ziele steelt uijt zijne broederen uijt de kinderen Israels, ende drijft gewin met hem ende verkoopt hem: soo zal dese dief sterven ende gij zult het boose uijt midden van u weg doen.","[In] Deuteronomy 24 verse 7, one finds [that] when one is found to be stealing a soul from his brothers of the children of Israel, and makes profit by selling him, so this thief will die and you shall remove evil from your midst.","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",10,46
