Label,length,input,human-expert,Llama & Assistant,Llama 3 Unsloth,mistral unsloth,mistral-7B-instruct-v0.3,,,Evaluation Human-expert,Evaluation Llama& Assistant,Llama 3 Unsloth,Mistral Unsloth,Mistral Base
2,5,"Malepartie Marian, oud 40 jaar.","Malepartie Marian, aged 40 years.","['Malepartie Marian, 40']","['Malepartie Marian, age 40']","['Malepartie Marian, 40 years']","['Marian Maleparty, aged 4']",,,1. yes 2. no 3. yes 4. yes,1. yes 2. no 3. yes 4. yes,1. yes 2. no 3. yes 4. yes,1. yes 2. no 3. yes 4. yes,1. yes 2. no 3. no 4. yes age changed to 41
5,6,"Mij present, [get.] Joan Klijn, secret:.","In my presence, [signed] Joan Klijn, secretary.","['In my presence, [signed] Joan Klijn,']","['In my presence, [signed] Joan Klijn']","['In my presence, [signed] Joan Klijn,']","['I present, Joan Klijn, secretly.']",,,1. yes 2. no 3. yes 4. yes,1. yes 2. no .3. yes. 4. yes,1. yes 2. no 3. yes 4. yes ,1. yes. 2. no 3. yes 4. yes,"1. no,2. yes 3. yes 4. yes,  in my presence mistranslated to i present; secret. Is abreviation for secretary but mistranslated as secretly here "
4,6,Dit is [get.]’t merk van Barkij.,This is [signed] the mark of Barkij.,['This is [signed] the mark of Barkij'],['This is [signed] the mark of Barkij'],['This is [signed] the mark of Barkij'],['This is the mark of Barkij.'],,,,,,,
8,6,"Accordeert, [get.] J: D: Krouse, clerq.","Approves, [signed] J. D. Krouse, clerk.","['Approves, [signed] J. D. Krouse']","['Approves, [signed] J. D. Krouse,']","['Approves, [signed] J. D. Krouse, cl']","['Address, [verb] J: D: Krouse, clerk']",,,1. yes 2. no 3. yes 4. yes,1. yes 2. no 3. yes 4. yes,1. yes 2. no 3. yes 4. yes,1. yes 2. no 3. yes 4. yees,1. yes 2. yes 3. yes 4. yes 'accordeert' mistranslated as 'address'
3,6,"Accordeert, [get.] S: Darpen, j: clerq.","Approved, [signed] S. Darpen, junior interpreter.","['Approves, [signed] S. Darpen, junior']","['Approves, [signed] S. Darpen, junior clerk']","['Approves, [signed] S. Darpen, junior clerk']","['Agree, [get.] S: Dare, j: cl']",,,,,,,
2,6,"Voor de vertaaling, [get.] Dio: Alewijn.","For the translation, [signed] Dio. Alewijn.","['For the translation, [signed] Dio. Alew']","['For the translation, [signed] Dio. Aleweijn']","['For the translation, [signed] Dio. Aleweijn']","['For the translation, [get.] Dio: Alewijn']",,,1. yes 2. no 3. yes 4. yes ,1. yes 2. no 3. yes 4. yes ,1. yes 2. no 3. yes 4. yes ,1. yes 2. no 3. yes 4. yes ,1. yes 2. yes 3. yes 4. yes 'get.' not translated 
9,6,"Accordeert, [get.] C:s Visser, gesw: clerq.","Approves, [signed] C.s Visser, sworn clerk.","['Approves, [signed] C.s Visser, sworn']","['Approves, [signed] C.s Visser, sworn clerk.']","['Approves, [signed] C.s Visser, sworn cl']","['Address, [verb] Mr. Visser, sworn clerk.']",,,,,,,
5,6,Antw: Om reeden als boven gesegt.,Answer: For reasons as stated above.,['Answer: For the reason as stated above.'],['Answer: For reasons as said above.'],['Answer: For the same reason as above.'],['Answer: As stated above.'],,,,,,,
5,6,Gesteldt bij [get.] den wasser Maden.,Set by [signed] the wasser Madden.,['Set by [signed] the wasser Maden'],['Set by [signed] the wasser Maden.'],['Set by [signed] the wasser Maden'],['Established by the water mill.'],,,1. yes 2. no 3. yes 4. yes ,1. yes 2. no 3. yes 4. yes ,1. yes 2. no 3. yes 4. yes,1. yes 2. no 3. yes 4. no ,1. yes 2. yes 3. no 4. 'gesteld' mistranslated as 'established' 'wasser' mistranslated as 'water' name not retained 
5,6,Antw: Omtrend 4. a 5. maanden.,Answer: Around four or five months.,['Answer: Around 4 to 5 months.'],['Answer: Around four to five months.'],['Answer: Around four to five months.'],['Answer: About four and a half months.'],,,,,,,
10,6,"Voor de vertaling, [get.] H:k Alewijn.","For the translation, [signed] H.k Alewijn.","['For the translation, [signed] H.k. Ale']","['For the translation, [signed] H.k Alewijn']","['For the translation, [signed] H.k Alew']","['For the translation, [get.] Mr. Alewijn']",,,1. yes 2. no 3. yes 4. yes ,1. yes 2. no 3. no 4. yes name not fully retained ,1. yes 2. no 3. yes 4. yes ,1. yes 2. no 3. no 4. yes name not fully retained ,1. yes 2. yes 3. yes 4. yes 'get'not translated 
7,7,"Voor de vertaling, [get.] H: v: Linde.","For the translation, [signed] H. v. Linde.","['For the translation, [signed] H. V. L']","['For the translation, [signed] H. v. Lin']","['For the translation, [signed] H. v. Lin']","['For the translation, [get.] H: v: L']",,,1. yes 2. no 3. yes 4. yes,1. yes 2. no 3. no 4. yes Linde is abreviated to L. by the model,1. yes 2. no 3. no 4. yes Linde is abreviated to Lin by the model,1. yes 2. no 3. no 4. Linde is abreviated to Lin by the model,1. yes 2. no 3. no 4. yes Linde is abreviated to L by the model
5,7,"‘t welk getuigd, [get.] Joan Klijn, secret:.","Which declares, [signed] Joan Klijn, secretary.","['Warmly testified, [signed] Joan Klijn, secretary']","['Which declares, [signed] Joan Klijn, secretary.']","['Which declares, [signed] Joan Klijn, secretary.']","['""Which is testified, [get.] Joan Klijn, secret']",,,,,,,
9,7,"Extract uit de crimineele rolle, No: 9.","Extract from the criminal roll, Number 9.","['Extract from the criminal roll of this city, Number ']","['Extract from the criminal roll, Number 9.']","['Extract from the criminal roll, Number 9.']","['Take from the criminal roll, No: 9.']",,,1. yes 2. no 3. yes 4. yes,1. no 2. no 3. yes 4. yes the phrase 'of this city' is added,1. yes 2. no 3. yes 4. yes,1. yes 2. no 3. yes 4. yes,1. yes 2. yes 3. yes 4. yes 'extract' was mistranslated as 'take'
8,7,Antw: In het huis van Mangij Mapule.,Answer: In the house of Mangij Mapule.,['Answer: In the house of Mangij Mapule'],['Answer: In the house of Mangij Map'],['Answer: In the house of Mangij Map'],['Answer: In the house of Mangij Map'],,,,,,,
5,7,"‘t Welk getuigd, [get.] Joan Klijn, secret:.","Which declares, [signed] Joan Klijn, secretary.","['Witnessed, [signed] Joan Klijn, secretary.']","['Which declares, [signed] Joan Klijn, secretary.']","['Which declares, [signed] Joan Klijn, secretary.']","['""The following is testified, [get.] Joan Klijn,']",,,1. yes 2. no 3. yes 4. yes ,1. yes 2. no 3. yes 4. yes ,1. yes 2. no 3. yes 4. yes ,1. yes 2. no 3. yes 4. no,1. yes 2. yes 3. yes 4. yes 'get. ' not translated 
6,7,"’t Welk getuigd, [get.] Joan Klijn, secret:s.","Which declares, [signed] Joan Klijn, secretary.","['The welk declared, [signed] Joan Klijn, secretary.']","['Which declares, [signed] Joan Klijn, secretary.']","['Which declares, [signed] Joan Klijn, secretary.']","['""The aforementioned, Joan Klijn, secretary.""']",,,,,,,
6,7,"’t Welk getuigd, [get.] Joan Klijn, secret:s.","Which declares, [signed] Joan Klijn, secretary.","['The Welk testified, [signed] Joan Klijn, secretary.']","['Which declares, [signed] Joan Klijn, secretary.']","['Which declares, [signed] Joan Klijn, secretary.']","['""The aforementioned, Joan Klijn, secretary.""']",,,,,,,
7,7,"’t Welk getuigd, [get.] Joan Klijn, secret:.","Which declares, [signed] Joan Klijn, secretary.","['The Welk declared, [signed] Joan Klijn, secretary.']","['Which declares, [signed] Joan Klijn, secretary.']","['Which declares, [signed] Joan Klijn, secretary.']","['The aforementioned, [get.] Joan Klijn, secret']",,,1. yes 2. no 3. yes 4. yes,1. yes 2. no 3. yes 4. yes 'welk' is not translated,1. yes 2. no 3. yes 4. yes,1. no 2. yes 3. yes 4. yes sentence mistranslated to 'aforementioned' and 'secret' abreviation mistranslated as 'secret' ,1. no 2. yes 3.no 4. yes mistranslated
6,7,"’t Welk getuigd, [get.] Joan Klijn, secret:.","Which declares, [signed] Joan Klijn, secretary.","['The Welk declared, [signed] Joan Klijn, secretary.']","['Which declares, [signed] Joan Klijn, secretary.']","['Which declares, [signed] Joan Klijn, secretary.']","['The aforementioned, [get.] Joan Klijn, secret']",,,,,,,
7,7,Antw: dat niet met al daarvan wist.,Answer: That I did not know about that at all.,['Answer: That he did not know about it'],"['Answer: Not sure about that, nor about']",['Answer: That I did not know of that'],['Answer: He was not aware of all that'],,,1. yes 2. no 3. yes 4. yes ,1. yes 2. no 3. yes 4. yes ,1. yes 2. no 3. yes 4. yes ,1. yes 2. no 3. yes 4. yes ,1. yes 2. no 3. yes 4. yes 
2,7,Zij weet niet of zij strafschuldig is.,She does not know whether she is punishable.,['She does not know whether she is strafschul'],['She does not know if she is guilty of a crime'],['She does not know whether she is guilty.'],['She does not know if she is guilty.'],,,,,,,
7,7," Antw: neen, sij woont bij een Betuwa.","Answer: No, she lives with a Betuwa.","[' Answer: No, she lives with a Betuwa.']","['Answer: No, she lives with a Betuwa.']","['Answer: No, she lives with a Betuwa']","[' Answer: no, she lives with a Betuwe.']",,,,,,,
9,7,"Extract uit de crimineele rolle, No: 10.","Extract from the criminal roll, Number 10.","['Extract from the criminal roll of this city, Number ']","['Extract from the criminal roll, Number 10.']","['Extract from the criminal roll, Number 10.']","['Take from the criminal roll, No: 10.']",,,1. yes 2. no 3. yes 4. yes,1. no 2. no 3. yes 4. yes 'in this city' is added,1. yes 2. no 3. yes 4. yes,1. yes 2. yes 3. yes 4. yes  'extract' is mistranslated as 'take' ,1. yes 2. no 3. yes 4. yes 
10,7,"Als gecommitteerdens, [get.] P:r Morijn, L:s Trogh.","As delegates, [signed] P.r Morijn, L.s Trogh.","['As delegates, [signed] P.r Morijn, L.s Tro']","['As delegates, [signed] P.r Morijn, L.s Trogh.']","['As delegates, [signed] P.r Morijn, L.s Tro']","['As commissioners, P:r Morijn, L:s Trogh.']",,,,,,,
5,7,Of den gev: de vrijvrouw Malickoema kent?,Whether the prisoner knows the free woman Malickoema?,['Whether the prisoner knows the free woman Malickoema'],['Whether the prisoner knows the free woman Malickoema'],['Whether the prisoner knows the free woman Malickoema?'],['Do you know the lady Malickoema?'],,,1. yes 2. no 3. yes 4. yes,1. yes 2. no 3. yes 4. yes ,1. yes 2. no 3. yes 4. yes,1. yes 2. no 3. yes 4. yes,1. no 2. yes 3. yes 4. yes
3,8,"Confessie van de jood Abraham Assuri, N:o 37.","Confession of the Jew Abraham Assuri, Number 37.","['Confession of the Jew Abraham Abraham Assuri, Number 37']","['Confession of the Jew Abraham Assuri, Number 37']","['Confession of the Jew Abraham Assuri, Number 37.']","['Confession of the Jew Abraham Assuri, No. 37']",,,1. yes 2. no 3. yes 4. yes,1. no 2. no 3. yes 4. yes Abraham is doubled by the model,1. yes 2. no 3. yes 4. yes,1. yes 2. no 3. yes 4. yes,1. yes 2. no 3. yes 4. yes
2,8,Dit is [get.] door de gevangen zelfs gesteld.,This is [signed] by the prisoner with his own hand.,['This is [signed] set down by the prisoners themselves'],['This is [signed] by the prisoner with his own hand'],['This is [signed] set down by the prisoner himself.'],[' This was set up by the prisoners themselves.'],,,,,,,
4,8,"Mij present, [get.] S:t V: Dorpen, g: clerq.","In my presence, [signed] S.t v. Dorpen, sworn clerk.","['In my presence, [signed] Saint Vitus Dorpen, sworn']","['In my presence, [signed] S. v. Dorpen, sworn']","['In my presence, [signed] S.t V. Dorpen,']","['I present, St. V: Dorpen, the clerk.']",,,1. yes 2. no 3. yes 4. yes,1. no 2. yes 3. no 4. yes 's.t. V not retained mistranslated as 'saint vitus' 'clerq' not translated but dropped ,1. no 3. yes 3. yes 4. yes 'clerq' was not translated but dropped,1. no 2. yes 3. yes 4. yes 'cerq' not translated but dropped,1. no 2. yes 3. yes 4. yes 'mij present' was mistranslatedtto 'I present' and 'sworn clek' was not translated
4,8,"Translaat eener vitieuse slaafbaare ola, N:o 55 1⁄2.","Translation of a false slaveable ola, Number 55 1/2.","['Translated copy of a vitieuse slaafbaare ola, Number 55']","['Abbreviated English translation of a vital slaafbaare ola, Number 55 ']","['Abbreviated content of a vitieuse slaafbaare ola, Number ']","['Translate one aged, saleable oil, No. 55 1/2.']",,,,,,,
7,8,"Als gecommitt:s, [get.] Dl: Bos, S: v: Zuijlen.","As delegates, [signed] Dl. Bos, S. v. Zuijlen.","['As delegates, [signed] Dl: Bos, S: v: Zuij']","['As delegates, [signed] Dl. Bos, S. v. Zuij']","['As delegates, [signed] Dl. Bos, S. v. Zuij']","['As committed, Mr. Bos, Mr. van Zuijlen.']",,,1. yes 2. no 3. yes 4. yes ,1. yes 2. no 3. no 4. yes 'zuijlen' lost a syllable ,1. yes 2. no 3. no 4. yes 'zuijlen' lost a syllable ,1. yes 2. no 3. no 4. yes 'zuijlen' lost a syllable ,1. no 2. yes 3. yes 4. yes 'delegates' and 'signed' lost 
4,8,"Voor de vertaling, [get.] B: D: Brouwer, ondertolk.","For the translation, [signed] B. D. Brouwer, junior interpreter.","['For the translation, [signed] B. D. Brouwer,']","['For the translation, [signed] B. D. Brouwer, junior interpreter']","['For the translation, [signed] B. D. Brouwer, junior']","['For the translation, [get.] B: D: Brouwer, inter']",,,,,,,
5,8,"Voor de vertaling, [get.] B: D: Brouwer, tolk.","For the translation, [signed] B. D. Brouwer, interpreter.","['For the translation, [signed] B. D. Brouwer,']","['For the translation, [signed] B. D. Brouwer,']","['For the translation, [signed] B. D. Brouwer, inter']","['For the translation, [get.] B: D: Brouwer, inter']",,,,,,,
3,8,"Verklaring van de slootenmaeker Willem Brandenburg, N:o 39.","Statement of the locksmith Willem Brandenburg, Number 39.","['Verklaring van de slootenmaeker Willem Brandenburg, N:']","['Statement of the slootenmaaker Willem Brandenburg, Number 39']","['Statement of the sluice-maker Willem Brandenburg, Number 39.']","['Declaration of locksmith Willem Brandenburg, No. 39.']",,,1. yes 2. no 3. yes 4. yes ,1. yes 2. yes 3. no 4. yes 'slootenmaeker' was not translated '39' was not retained 'verklaring' was not translated,1. yes 2. yes 3. no 4. yes 'slootenmaeker' was not translated,1. yes 2. yes 3. no 4. yes 'slootenmaeker' was mistranslatedas 'sluicemaker',1. yes 2. no 3. yes 4. yes
1,8,"Ons present: [get.] P:r Bout, en Laurens Clasen.","Us present: [signed] P.r Bout, and Laurens Clasen.","['In our presence [signed] P.r Bout, and Laurens']","['In our presence, [signed] P.r Bout and Laurens Cl']","['In our presence: [signed] P.r Bout, and Laure']",['Our present: Peter Bout and Laurens Clasen.'],,,,,,,
1,8,Cochim den 28:e aug:o 1708 [get.] Otto Cloot.,"Cochim 28 August 1708, [signed] Otto Cloot.","['Cochim, 28th of August 1708 [signed]']","['Cochim, 28 August 1708, [signed] Otto']",['Cochim 28 August 1708 [signed] Otto Cloot'],['Cochim on the 28th of August 1708 [arrived'],,,1. yes 2. no 3. yes 4. yes ,1. yes 2. yes 3. no 4. yes name not retained ,1. yes 2. yes 3. no 4. yes name not fully retained ,1. yes 2. no 3. yes 4. yes ,1. no 2. yes 3. no 4. yes 'get.' mistranslated name not retained 
3,8,"Imploreerende en in alles etc:a., [get.] C: Stevens.","Requesting and in everything etcetera, [signed] C. Stevens.","['Requesting and in everything etcetera, [signed] C: Stevens']","['Imploring and etcetera, [signed] C. Stevens']","['Imploring and in everything etcetera, [signed] C. Stevens']","['Beseeching and in all things etc:a., [get.]']",,,,,,,
4,8,"Als gecommitt:s, [get.] F:s Terburg, C:s H: Oudewater.","As delegates, [signed] F.s Terburg, C.s H. Oudewater.","['As delegates, [signed] F.s Terburg, C.s H. O']","['As delegates, [signed] F.s Terburg, C.s H. Oud']","['As delegates, [signed] F.s Terburg, C.s H. O']","['As committed, F:s Terburg, C:s H: Oudewater.']",,,,,,,
7,8,"Met wat gedagten, of voorneemen sulcx is geschiet?","With what thought, or intention such happened?","['With what thoughts, or presumptions such an event has']","['With some considerations, or presumptions such has happened?']","['With what thoughts, or intentions such was done?']","['With what thoughts, or assumptions has this been done?']",,,1. yes 2. no 3. yes 4. yes ,1. no 2. yes 3. yes 4. yes 'geschiet' is lost ,1. no 2. yes 3. yes 4. yes 'wat' was mistranslated to 'some',1. yes 2. yes 3. yes 4. yes 'geschiet' was mistranslated to 'done' ,1. yes 2. yes 3. yes 4. yes 'geschiet' was mistranslated as 'done'
7,8,"[get.] N: Bowijn, Dl: Bos, S: v: Zuijlen.","[signed] N. Bowijn, Dl. Bos, S. v. Zuijlen.","['[signed] N. Bowijn, clerk of the Council, Dl']","['[signed] N. Bowijn, Dl. Bos, S. v.']","['[signed] N. Bowijn, D. Bos, S. v.']","['N: Bowijn, Dl: Bos, S: van Zuijlen']",,,,,,,
5,8,"Voor de vertaling, [get.] B: D: Brouwer, tolk.","For the translation, [signed] B. D. Brouwer, interpreter.","['For the translation, [signed] B. D. Brouwer,']","['For the translation, [signed] B. D. Brouwer,']","['For the translation, [signed] B. D. Brouwer, inter']","['For the translation, [get.] B: D: Brouwer, inter']",,,1. yes 2. no 3. yes 4. yes,1. yes 2. yes 3. yes 4. yes 'tolk' lost ,1. yes 2. yes 3. yes 4. yes 'tolk' lost ,1. yes 2. yes 3. yes 4. yes 'tolk' lost ,1. yes 2. yes 3. yes 4. yes 'tolk' lost 
5,9,"Als gecommitt:s, [get.] C: V: Meeckeren, S: v: Zuijlen.","As delegates, [signed] C. v. Meeckeren, S. v. Zuijlen.","['As delegates, [signed] C. v. Meeckeren, S. v. Zu']","['As delegates, [signed] C. v. Meeckeren, S. v. Zui']","['As delegates, [signed] C. v. Meeckeren, S. v. Zu']","['As committed, [get.] C: V: Meeckeren, S: v: Zuij']",,,1. yes 2. no 3. yes 4. yes,1. yes 2. no 3. no 4. yes Zuilen is abreviated to Zu,1. yes 2. no 3. no 4. yes Zuilen is abreviated to Zui,1. yes 2. no 3. no 4. zuilen is abreviated to Zui,1. yes 2. no 3. no 4. yes Zuilen is abreviated to Zui
9,9,[A]ntw: Ik stel ’t in ’t be[l]ieven der heeren.,Answer: I leave that to the judgement of the lords.,['[A]nsw: I put it in the judgement of the lords.'],['[A]ntw: I leave it to the lords’ decision.'],['Answer: I hold it in the lords.'],['Answer: I put it in the hands of the gentlemen.'],,,,,,,
5,9,Op te geven voor hoeveel de koop gesloten was;,To state for how much the sale was closed.,['To be stated for how much the sale was closed;'],['To state for how much the sale was closed?'],['To state for how much the sale was closed?'],['The amount for which the purchase was made was to be given;'],,,1. yes 2. no 3. yes 4. yes ,1. yes 2. no 3. yes 4. yes ,1. yes 2. no 3. yes 4. yes ,1. yes 2. no 3. yes 4. yes ,1. no 2. no 3. yes 4. yes the structure of the sentence was changed significantly 
2,9,Van waar geboortig en welke religie zij toegedaan is?,Where was she born and what is her religion?,['From where she is born and to what religion she is dedicated to?'],['From where she is born and which religion she belongs to?'],['What is her place of birth and which religion she has professed?'],['What is their place of birth and what religion are they affiliated with?'],,,,,,,
8,9,Antw: Ik weet niet beter hij heet Mangij Mapule.,Answer: I know no better than that he is called Mangij Mapule.,['Answer: I do not know any better; he is called Mangij'],"['Answer: I do not know better, he is named Mangij']",['Answer: I do not know better his name is Mangij Map'],"['Answer: I do not know better, his name is Mangij']",,,1. yes 2. no 3. yes 4. yes ,1. yes 2. no 3. yes 4. yes ,1. yes 2. yes 3. no 4. yes 'mapule'  not retained ,1. yes 2. yes 3. no 4. yes 'mapule'  not retained ,1. yes 2. yes 3. no 4. yes 'mapule'  not retained 
3,9,"Extract uijt de justitieele rolle deser steede, No: 40","Extract of the criminal roll of this city, Number 40.","['Extract from the judicial roll of this city, Number 40']","['Extract from the judicial roll of this city, Number 40']","['Extract from the judicial roll of this city, Number 40.']","['Taken from the judicial roll of the court, No: 40']",,,,,,,
3,9,"’T welk getuijgt, [get.] H[. . .] Koller, secret:s.","Which was declared, [signed] H[. . .] Koller, secretary.","['Which declares, [signed] H. . . Koller, secretary.']","['Which declares, [signed] H[...] Koller, secretary.']","['Which declares, [signed] H. . . Koller, secretary.']","['""Which testifies, [get.] H[. . .] Koller, secret.""']",,,,,,,
2,10,"In mijn kennis, [get.] J: V: D: Poel, g: klerk.","In my knowledge [signed], J. V. D. Poel, sworn clerk.","['In my knowledge, [signed] J. V. D. Poel, sworn']","['In my knowledge, [signed] J. V. D. Poel, sworn clerk']","['In my knowledge, [signed] J. V. D. Poel, sworn']","['In my knowledge, J. V. D. Poel, gentleman, clerk.']",,,1. yes 2. no 3. yes 4. yes,1. yes 2 yes 3. yes 4. yes the word Clerk got lost at the end ,1. yes 2. no 3. yes 4. yes,1. yes 2. no 3. yes 4. yes the word clerk was lost,1. yes 2. yes 3. yes 4. yes. 
2,10,"In mijn kennis, [get.] J: V: D: Poel, g: klerk.","In my knowledge, [signed] J. V. D. Poel, Sworn clerk.","['In my knowledge, [signed] J. V. D. Poel, sworn']","['In my knowledge, [signed] J. V. D. Poel, sworn clerk']","['In my knowledge, [signed] J. V. D. Poel, sworn']","['In my knowledge, J. V. D. Poel, G. clerk.']",,,,,,,
5,10,Of den gev: wel weet dat niemand vrijluijden mag verkopen?,Whether the prisoner knows that no one can sell free persons?,['Whether the prisoner does not know that no one can lawfully sell'],['Whether the prisoner knows that nobody can sell free loving?'],['Whether the prisoner knows that no one may sell a free luijden'],['Do you know that no one may sell indulgences freely?'],,,1. yes 2. no 3. yes 4. yes ,1. yes 2. yes 3. yes 4. yes 'luijden' lost ,1. yes 2. yes 3. yes 4. yes 'luijden' mistranslated as loving ,1. yes 2. yes 3. yes 4. yes 'luijden' not translated ,1. no 2. yes 3. yes 4. yes mistranslated 
3,10,Dit werk [get.] is bij den deposant Barrido selfs gestelt.,This mark [signed] was set by the deponent Barrido with his own hand.,['This work [signed] was set down by the deponent Barr'],['This mark [signed] was set by the deponent Barrido himself'],['This mark [signed] is set by the deponent Barrido himself'],['This work [got.] was set by the depositor Barrido himself'],,,,, ,,
7,10,"Ter ordonnantie van den Ee:agtb: heer Commandeur in desengem:, [get.].","By order of the honourable lord commander mentioned in this, [signed].","['To the ordinance of the honourable lord Commander in this matter, [signed].']","['To the ordinance of the honourable lord Commander in this regard, [signed].']","['To the ordinance of the honourable lord Commander in the mentioned, [signed].']","['By the order of the 18th Lord Commander, [get.].']",,,,,,,
5,10,"Gerecolleerde klagt depositie van de moorse vrouw Malickoema, No: 2.","Verified deposition of complaint of the Moorish woman Malickoema, Number 2.","['Verified deposition of complaint of the Moorish woman Malickoema, Number 2']","['Verified deposition of complaint of the Moorish woman Malickoema, Number 2.']","['Verified deposition of complaint of the Moorish woman Malickoema, Number 2.']","['Deposit of the Moorish woman Malickoema, No: 2.\n\n']",,,1. yes 2. no 3. yes 4. yes ,1.  yes 2. no 3. yes 4. yes ,1. yes 2. no 3. yes 4. yes ,1. yes 2. yes 3. yes 4. yes 'grecolleerde klagt depositie' was mistranslated to 'deposit' ,1. no 2. yes 3. yes 4. yes 
2,10,"In mijn kennis, [get.] J: V: D: Poel, g: klerk.","In my knowledge, [signed] J. V. D. Poel, sworn clerk.","['In my knowledge, [signed] J. V. D. Poel, sworn']","['In my knowledge, [signed] J. V. D. Poel, sworn clerk']","['In my knowledge, [signed] J. V. D. Poel, sworn']","['In my knowledge, J. V. D. Poel, gentleman, clerk.']",,,,,,,
7,10,"Of zij uit gem tamboers huis sig niet heeft g’absenteerd,",Whether she did not abscond from mentioned Tamboer’s house?,['Whether she did not abscond from the house of the mentioned tam'],['Whether she had absconded from the mentioned tamboer’s'],['Whether she had absconded from the aforementioned tambo'],"[""If she did not leave from the drummer's house,\n\n""]",,,1. yes 2. no 3. yes 4. yes ,1. yes 2. yes 3. no 4. yes 'tamboer' not fully reetained,1. yes 2. no 3. yes 4. yes ,1. yes 2. yes 3. no 4. yes 'tamboer' not fully retained ,1. no 2. yes 3. no 4. yes mistranslated
9,10,"E: E: Agtbaare, manhafte, wijse, voorsienige en seer genereuse heer!","Honourable, manhafte, wise, knowing and very generous lord!","['E: E: Honourable, reasonable, wise, foresightful and very generous lord!']","['Honourable, manhafte, wise, knowing and very generous lord!']","['Honourable, manhafte, wise, knowing and very generous lord!']","['Honourable, mighty, wise, foresightful, and very generous lord!']",,,,,,,
9,10,"Extract uijt de generaele resolutie des casteels Batavia, No: 8.","Extract from the general resolution of the castle Batavia, Number 8.","['Extract from the general resolution of the casteel of Batavia, Number 8']","['Extract from the general resolution of Castle Batavia, Number 8.']","['Extract from the general resolution of the castle Batavia, Number 8.']","[' Taken from the general resolution of the castle Batavia, No: 8.']",,,,,,,
