system,prompt,chosen,rejected,length,Label
"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ","Dat hij geantwoord had, ik heb ze van een ander Malabaar gekreegen; dat zij toen naar de ola gevraagd had, dat hij geantwoord had geen ola te hebben; waarop zij gerepliceerd had, zoo jij geen ola hebt, wil ik ze niet hebben dat hij toen gezegd had, laat het meisje zoo lange hier blijven, ik zal even naar Mattanseeri gaan om voor twee fanems jager te koopen; dat het meisje toen bij haar gebleeven en zij om haar werk uitgegaan was; dat savonds te 5: uur de Malabaar wedergekoomen, het meisje weggenoomen had; dat zij naderhand den Malabaar niet meer gezien had, als gistern, toen zij bij den heer fiskaal geroepen is geworden.","To which he answered, I have received her from another Malabarian; after which she asked for the ola, to which he answered that he had no ola; to which she replied, if you have no ola, I do not want her, that he then said, let the girl remain here, I will quickly go to Mattenseeri to buy jager for two fanems; after which the girl stayed with her and she went to work; in the evening at 5 o’clock the Malabarian returned and took the girl away; after which she did not see the Malabarian, until yesterday when she was called to the lord fiscal.","That he had answered, I got them from another Malabaar; that she then asked for the ola, that he had answered to have no ola; whereupon she had replied, if you have no ola, I do not want them; that he then said, let the girl stay here for a while, I will go to Mattanseeri to buy some hunters for two fanems; that the girl then stayed with her and she went out for her work; that at 5 o'clock in the evening the Malabaar returned, took the girl away; that she had not seen the Malabaar afterwards, except yesterday, when she was summoned to the fiscal's officer.",113,2
"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",Aldus gedaan en gepasseert in de stat Cochim den 20 aug:s a:o 1708. ter presentie van s:r Hendrik Coolhoff en Cornelis de Munt als gecommitt: die de minuten deses benevens den confess: en mij secret: hebben ondertekent.,"Thus done and recorded in the city of Cochim on 20 August 1708, in the presence of the delegates sir Hendrik Coolhof and Cornelis de Munt who have signed the original of this besides the confessant, the interpreter Cornelis van Mekeren for the translation and me the secretary.","Thus done and passed in the city Cochim on August 20, in the year 1708, in the presence of Mr. Hendrik Coolhoff and Cornelis de Munt as commissioners who have signed the draft of this, along with the confession and me, secretary.",37,1
"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",Soo neen hoe het dan komt dat hij in gevangenisse sit?,"If not, how is it that he is currently in prison?",So do tell how it then comes that he sits in prison?,11,5
"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ","Men kan niet loochenen, dat men niet duijsent maal gesien heeft beesten uijt verdriet en wanhoop sterven.","One cannot deny that one has seen animals die from sadness and despair a
thousand times.",One cannot deny that one has not seen beasts die from sorrow and despair a thousand times.,17,10
"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ","Gerecoll: confessie van den slave jongen Apocre, N:o 20.","Verified confession of the slave jongen Apocre, Number 20","Recollected: confession of the slave boy Apocre, No. 20.",9,6
"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ","Want hij segt bij sijn confessie, die onder n:o 5. hier besijden is te vinden, dat hij een varken aan voorsz: Antij om groot te maeken gegeven, en nae verloop van 11⁄2 jaaren daernae gevraegt en verstaan hebbende dat Antij tselve hadde verkogt, hij gev: de helfte vant geld gepretendeert heeft.","Because he says in his own confession, that can be found here under number 5, that he has given a pig to the aforementioned Antij in order to raise it, and that after one and a half years [when] he had asked about it and understood that Antij had sold it, the prisoner claimed half of the money.","For he says in his confession, which is to be found here beside under no. 5, that he gave a pig to the aforementioned Antij to raise, and after the course of 1½ years having asked and understood that Antij had sold the same, he demanded half of the money.",51,9
"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",Of hij relatant nu niet moet bekennen dat hij door dit sijn schandelijk versuijm heeft schuldig gemaakt aan de poenaliteijten bij de pla[cc]aten tegen zulke ronzel[aa]rs gestatueert.,Whether the testifier should not acknowledge now that he made himself guilty of the crimes statuated in the placards against such recruiters through his shameful neglect?,"If he, the relator, does not now have to confess that by this his shameful neglect he has rendered himself guilty of the penalties stated in the edicts against such fraudulent persons.",27,10
"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ","Antw: Mijn makker heeft dat niet gesegt, maar ik, dog mij makker wilde de meijd aan de wassers niet verkopen.","Answer: My friend did not say that, but I, however my friend did not want to sell
the meijd to the wassers.","Answer: My mate did not say that, but I did, though my mate did not want to sell the maid to the washers.",20,5
"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ","‘t Welk getuigd, [get.] Joan Klijn, secret:s.","Which declares, [signed] Joan Klijn, secretary.","Which is testified, [signed] Joan Klijn, secretary.",7,5
"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ","Indien nu den Chego Ittamen die een vrij gebooren persoon is, op dusdanige wijse zijn vrijdom had verlooren en in een eeuwige slavernij was komen te vervallen, werd hij relatant gevraagt of hij mede niet zoude schuldig zijn aan mans ongeluk, dat so veel te grooter zoude zijn geweest vermits denselven vrouw en kinderen heeft.","If now the Chego Ittamen, who is a freeborn person, would lose his freedom in such a way and fell into eternal slavery, the testifier was asked whether he would not be complicit in a man’s misfortune, which would be even greater since he has a wife and children?","If now the Chego Ittamen, who is a free-born person, had thus lost his freedom and had fallen into eternal slavery, he, the relator, was asked whether he would not also be guilty of the man's misfortune, which would have been so much greater due to the said man having a wife and children.",55,10
"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ","besluitende evengenoemde aucteur dat capittel met eene nadere oplossing, dat bovendien ook nog staat aan te merken dat in misdaad van menschen dieverije niet alleenig de menschen steelers, maar ook de sulken, die daar toe behulpsaam en in die misdaad meede genooten zijn aan die selfde straffe des swaarts gehouden worden.","The mentioned author concludes that chapter with another solution, that it should further be noted that in crimes of human theft not only the human thieves but also those who have been helpful in that crime and have been complicit should be held to this same punishment by the sword.","Concluding, the aforementioned author ends that chapter with a further resolution, that moreover it should also be noted that in cases of human theft, not only the people who commit theft, but also those who are accomplices and participants in that crime, are held to the same punishment of the sword.",51,2
"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ","Aldus gedaan ende gedeposeert binnen de stad Cochim ter ord:s Raadcamer op saturdag den 13. junij 1750. in prasentie van d’E: Mattheus Hendrik Beijts en Jacob Harsing beide leeden uit den Raad voorm: die de minute deses nevens den deposant, jongtolk en mij sect:s hebben ondertekend /:onterstond:/ ’t welk getuijgt /:was get::/ Jacob:s Meijn secret:s.","Thus done and deposed in the city of Cochim in the ordinary Chamber of Council on Saturday, 13 June 1750 in the presence of the honourable Mattheus Hendrik Beijts and Jacob Harsing, both members of the aforementioned Council, who have signed the original of this together with the deponent, junior interpreter and me the secretary (standing below) which was declared (signed) Jacob.s Meijn, secretary.","Thus done and deposited within the city of Cochim in the order's Council chamber on Saturday the 13th of June 1750, in presence of the Honorable Mattheus Hendrik Beijts and Jacob Harsing both members of the aforementioned Council, who the minute of this alongside the depositor, junior interpreter and myself secretary have signed /:immediately:/ which attests /:it was/: Jacob's Meijn secretary.",55,9
"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ","Of den gev: Jano sulx niet heeft gedaen, en wie meer?","Whether the prisoner Jano has not done this, and who else?","Of the aforementioned: Jano has not done so, and who else?",11,9
"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ","Extract uijt de crimineele rolle gehouden voor den agtb: Raad van Justitie binnen de stad Cochim op
Dingsdag den 22:e 7:ber anno 1750,","Extract from the criminal roll held before the honourable Council of Justice in the city of Cochim on Tuesday, 22 September in the year 1750.",Extract from the criminal roll held before the honorable Council of Justice within the city of Cochim on Tuesday the 22nd of September in the year 1750.,23,9
"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ","‘Twelk getuigd, [get.] Joan Klijn, secret:s.","Which declares, [signed] Joan Klijn, secretary.","This testified, [signed] Joan Klijn, secretary.",6,6
"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ","Antw: Ja, ik ben daer niet gegaen.","Answer: Yes, I did not go there.","Answer: Yes, I have not gone there.",7,9
